FRESATITAN      EQUIP: REF 040  Fressadora FANUC 2         DATA: 2025            229AG695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;Hora preparació;Tècnic preparació;Punxat       (Tècnic);Hora acabat;Tècnic acabat;Resultat;incidències 1;incidències 2;TOTAL US;TOTAL  INCIDÈNCIES
04/02/2025;12:10;Gerard;;;Gerard;OK;13:30;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
05/02/2025;11:58;Gerard;;;Gerard;OK;13:53;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
06/02/2025;13:32;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
07/02/2025;13:39;Gerard;;;Gerard;OK;16:03;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
10/02/2025;matí ;Toni;;;Toni;OK;12:40;Gerard;;;Gerard;OK;14:29;Gerard;;;Gerard;OK;15:30;Gerard;;;Gerard;OK;;;;;;;;;4;
11/02/2025;13:30;Gerard;;;Gerard;OK;17:02;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
12/02/2025;14:05;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
13/02/2025;13:29;Gerard;;;Gerard;OK;14:41;Gerard;;;Gerard;OK;15:38;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;3;
14/02/2025;13:00;Gerard;;;Gerard;OK;14:46;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
17/02/2025;12:44;Gerard;;;Gerard;OK;15:15;Gerard;;;Gerard;OK;16:14;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;3;
18/02/2025;13:54;Gerard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
19/02/2025;14:13;Gerard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
20/02/2025;11:31;Gerard;;;Gerard;OK;12:31;Gerard;;;Gerard;OK;13:30;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;3;
21/02/2025;12:00;Gerard;;;Gerard;OK;14:00;Toni;;;Gerard;OK;16:00;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;3;
24/02/2025;12:36;Gerard;;;Gerard;OK;13:06;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
25/02/2025;13:46;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
26/02/2025;12:11;Gerard;;;Gerard;OK;13:34;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
27/02/2025;13:00;Gerard;;;Gerard;OK;13:42;Gerard;;;Gerard;OK;15:13;Gerard;;;Gerard;OK;18:30;Gerard;;;Gerard;OK;;;;;;;;;4;
28/02/2025;12:26;Gerard;;;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
FEBRER  25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Febrer 25;0;0
03/03/2025;11:39;Gerard;Gerard;13:05;Gerard;OK;13:24;Gerard;Gerard;14:34;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
04/03/2025;13:22;Gerard;Gerard;14:00;Gerard;OK;14:30;Gerard;Gerard;15:39;Gerard;OK;17:16;Gerard;Gerard;tarda;Gerard;OK;;;;;;;;;;;;;;;3;
05/03/2025;12:00;Gerard;Gerard;14:30;Gerard;OK;14:37;Gerard;Gerard;14:43;Gerard;OK;16:55;Gerard;Gerard;18:00;Gerard;OK;;;;;;;;;;;;;;;3;
06/03/2025;12:16;Gerard;Gerard;13:03;Gerard;OK;13:08;Gerard;Gerard;14:11;Gerard;OK;14:26;Gerard;Gerard;15:15;Gerard;OK;15:15;Gerard;Gerard;16:15;Gerard;OK;;;;;;;;;4;
07/03/2025;13:00;Gerard;Gerard;15:50;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
10/03/2025;12:12;Gerard;Gerard;14:00;Gerard;OK;14:22;Gerard;Gerard;15:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
11/03/2025;13:30;Gerard;Gerard;15:14;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
12/03/2025;12:30;Gerard;Gerard;13:18;Gerard;OK;13:18;Gerard;Gerard;13:56;Gerard;OK;15:42;Gerard;Gerard;18:36;Gerard;OK;;;;;;;;;;;;;;;3;
13/03/2025;13:38;Gerard;Gerard;15:10;Gerard;OK;15:10;Gerard;Gerard;16:15;Gerard;OK;16:15;Gerard;Gerard;17:30;Gerard;OK;18:15;Gerard;Gerard;tarda;Gerard;OK;;;;;;;;;4;
14/03/2025;matí ;Gerard;Toni;matí;Gerard;OK;tarda;Gerard;Gerard;tarda;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
17/03/2025;12:48;Gerard;Gerard;14:10;Gerard;OK;14:32;Gerard;Gerard;15:30;Gerard;OK;17:10;Gerard;Gerard;18:00;Gerard;OK;;;;;;;;;;;;;;;3;
18/03/2025;13:24;Gerard;Gerard;14:30;Gerard;OK;14:30;Gerard;Gerard;16:00;Gerard;OK;16:00;Gerard;Gerard;18:00;Gerard;OK;;;;;;;;;;;;;;;3;
19/03/2025;12:30;Gerard;Gerard;14:08;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
20/03/2025;8:39;Toni;Toni;?????;Toni;OK;13:00;Gerard;Gerard;13:55;Gerard;OK;14:00;Gerard;Gerard;15:00;Gerard;OK;15:00;Gerard;Gerard;16:00;Gerard;OK;16:30;Gerard;Gerard;18:30;Gerard;OK;;;5;
21/03/2025;13:10;Gerard;Gerard;14:50;Gerard;OK;14:50;Gerard;Gerard;15:30;Gerard;OK;16:30;Gerard;Gerard;17:30;Gerard;OK;17:30;Gerard;Gerard;18:30;Gerard;OK;;;;;;;;;4;
24/03/2025;12:00;Gerard;Gerard;12:40;Gerard;OK;11:40;Gerard;Gerard;13:30;Gerard;OK;13:30;Gerard;Gerard;?????;?????;;;;;;;;;;;;;;;;3;
25/03/2025;9:00;Toni;Toni;11:45;Gerard;OK;11:45;Toni;Gerard;13:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
26/03/2025;13:30;Gerard;Gerard;15:30;Gerard;OK;16:15;Gerard;Gerard;18:15;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
27/03/2025;13:30;Gerard;Gerard;14:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
28/03/2025;11:30;Gerard;Gerard;13:00;Gerard;OK;13:00;Gerard;Gerard;14:45;Gerard;OK;15:10;Gerard;Gerard;17:30;Gerard;OK;;;;;;;;;;;;;;;3;
31/03/2025;13:30;Gerard;Gerard;14:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
MARÇ 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Març 25;53;0
01/04/2025;12:00;Gerard;Gerard;13:00;Gerard;OK;13:00;Gerard;Gerard;14:30;Gerard;OK;14:36;Gerard;Gerard;16:00;Gerard;OK;;;;;;;;;;;;;;;3;
02/04/2025;12:30;Gerard;Gerard;14:00;Gerard;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
03/04/2025;14:45;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;17:00;Gerard;OK;17:06;Gerard;Gerard;18:00;Gerard;OK;;;;;;;;;;;;;;;3;
04/04/2025;11:00;Gerard;Gerard;12:30;Gerard;OK;12:30;Gerard;Gerard;17:37;Gerard;OK;13:37;Gerard;Gerard;14:46;Gerard;OK;14:46;Gerard;Gerard;15:39;Gerard;OK;;;;;;;;;4;
07/04/2025;11:45;Gerard;Gerard;12:15;Gerard;OK;12:54;Gerard;Gerard;14:00;Gerard;OK;14:08;Gerard;Gerard;15:00;Gerard;OK;17:00;Gerard;Gerard;17:30;Gerard;OK;;;;;;;;;4;
08/04/2025;12:44;Gerard;Gerard;13:00;Gerard;OK;14:30;Gerard;Gerard;15:30;Gerard;OK;16:00;Gerard;Gerard;17:30;Gerard;OK;;;;;;;;;;;;;;;3;
09/04/2025;13:30;Gerard;Gerard;14:47;Gerard;OK;15:00;Gerard;Gerard;16:30;Gerard;OK;;;;;;;;;;;;;;;;;;;;;2;
10/04/2025;12:39;Gerard;Gerard;13:34;Gerard;OK;13:34;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;16:44;Gerard;OK;16:44;Gerard;Gerard;17:44;Gerard;OK;;;;;;;;;4;
11/04/2025;16:00;Gerard;Gerard;17:30;Toni;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
14/04/2025;11:45;Gerard;Gerard;13:30;Gerard;OK;14:30;Gerard;Gerard;15:30;Gerard;OK;15:30;Gerard;Gerard;16:30;Toni;OK;;;;;;;;;;;;;;;3;
15/04/2025;12:00;Gerard;Gerard;12:45;Gerard;OK;13:30;Gerard;Gerard;14:30;Gerard;OK;14:30;Gerard;Gerard;17:30;Gerard;OK;19:30;Gerard;Gerard;;;;;;;;;;;;4;
