FRESATITAN      EQUIP: REF 062   Fressadora UP 3D - DISILICAT         DATA:  JULIOL 2025                   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora preparació;Tècnic preparació;Hora acabat ;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat ;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnicacabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat ;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;;total
11/07/2025;14:00;Pol;15:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
14/07/2025;12:00;Pol;13:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
15/07/2025;17:00;Pol;17:30;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
16/07/2025;12:00;Pol;14:00;Pol;15:00;Pol;17:00;Pol;17:00;Pol;???;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
17/07/2025;18:00;Pol;19:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
18/07/2025;17:00;Pol;18:00;Pol;18:00;Pol;19:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
21/07/2025;12:00;Pol;14:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
22/07/2025;16:00;Pol;17:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
23/07/2025;12:00;Pol;13:00;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
24/07/2025;13:00;Pol;15:00;Pol;16:00;Pol;17:30;Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
